id,source,target,bandwidth,latency
92,181,1160,303,0.0033003300330033004
93,201,587,480,0.0020833333333333333
94,209,483,325,0.003076923076923077
95,209,657,60,0.016666666666666666
96,209,1182,151,0.006622516556291391
97,227,448,282,0.0035460992907801418
98,227,515,358,0.002793296089385475
99,227,518,355,0.0028169014084507044
100,227,542,349,0.0028653295128939827
101,227,668,559,0.0017889087656529517
102,270,1187,81,0.012345679012345678
103,270,1219,508,0.001968503937007874
104,282,581,331,0.0030211480362537764
105,282,855,121,0.008264462809917356
106,287,739,198,0.005050505050505051
107,287,1060,158,0.006329113924050633
108,287,1175,549,0.0018214936247723133
109,288,765,195,0.005128205128205128
110,288,769,369,0.0027100271002710027
111,324,978,520,0.0019230769230769232
112,324,979,242,0.004132231404958678
113,336,705,201,0.004975124378109453
114,336,885,520,0.0019230769230769232
115,344,842,331,0.0030211480362537764
116,344,919,453,0.002207505518763797
117,344,971,331,0.0030211480362537764
118,344,1060,452,0.0022123893805309734
119,344,1301,464,0.0021551724137931034
120,345,536,250,0.004
121,345,1090,164,0.006097560975609756
122,362,400,180,0.005555555555555556
123,362,408,500,0.002
124,362,595,565,0.0017699115044247787
125,362,1160,385,0.0025974025974025974
126,395,491,251,0.00398406374501992
127,395,657,538,0.0018587360594795538
128,395,763,280,0.0035714285714285713
129,396,703,196,0.00510204081632653
130,396,745,243,0.00411522633744856
131,396,932,585,0.0017094017094017094
132,396,1246,585,0.0017094017094017094
133,396,1343,339,0.0029498525073746312
134,399,593,488,0.0020491803278688526
135,399,715,535,0.001869158878504673
136,399,938,176,0.005681818181818182
137,400,408,82,0.012195121951219513
138,400,595,94,0.010638297872340425
139,400,626,594,0.0016835016835016834
140,400,885,208,0.004807692307692308
141,400,1160,171,0.005847953216374269
142,408,595,256,0.00390625
143,408,626,391,0.0025575447570332483
144,408,1160,577,0.0017331022530329288
145,419,593,165,0.006060606060606061
146,419,1326,403,0.0024813895781637717
147,419,1337,440,0.0022727272727272726
148,423,700,127,0.007874015748031496
149,423,1052,335,0.0029850746268656717
150,423,1147,372,0.002688172043010753
151,423,1229,294,0.003401360544217687
152,424,578,246,0.0040650406504065045
153,424,937,400,0.0025
154,430,1326,568,0.0017605633802816902
155,430,1337,585,0.0017094017094017094
156,430,1338,227,0.004405286343612335
157,448,518,251,0.00398406374501992
158,448,542,449,0.0022271714922048997
159,448,1163,527,0.0018975332068311196
160,469,610,57,0.017543859649122806
161,469,703,259,0.003861003861003861
162,469,1254,107,0.009345794392523364
163,473,714,385,0.0025974025974025974
164,483,1182,586,0.0017064846416382253
165,489,538,385,0.0025974025974025974
166,489,714,103,0.009708737864077669
167,491,657,560,0.0017857142857142857
168,491,763,443,0.002257336343115124
169,496,854,283,0.0035335689045936395
170,496,1068,76,0.013157894736842105
171,515,518,481,0.002079002079002079
172,515,538,210,0.004761904761904762
173,515,542,299,0.0033444816053511705
174,515,668,453,0.002207505518763797
175,515,700,163,0.006134969325153374
176,515,1029,558,0.0017921146953405018
177,518,542,166,0.006024096385542169
178,518,700,58,0.017241379310344827
179,518,1029,259,0.003861003861003861
180,518,1052,184,0.005434782608695652
181,536,626,422,0.002369668246445498
182,536,1090,221,0.004524886877828055
183,538,700,103,0.009708737864077669
184,538,714,525,0.0019047619047619048
185,542,1029,479,0.0020876826722338203
186,578,937,113,0.008849557522123894
187,581,801,380,0.002631578947368421
188,581,932,156,0.00641025641025641
189,581,1246,403,0.0024813895781637717
190,593,1326,118,0.00847457627118644
191,593,1337,369,0.0027100271002710027
192,593,1338,184,0.005434782608695652
193,605,699,575,0.0017391304347826088
194,605,914,224,0.004464285714285714
195,605,1299,486,0.00205761316872428
196,607,1036,350,0.002857142857142857
197,610,703,211,0.004739336492890996
198,610,1254,500,0.002
199,626,1090,550,0.0018181818181818182
200,626,1160,395,0.002531645569620253
201,692,765,129,0.007751937984496124
202,692,1333,127,0.007874015748031496
203,699,1127,317,0.0031545741324921135
204,699,1299,83,0.012048192771084338
205,700,1029,417,0.002398081534772182
206,700,1052,487,0.002053388090349076
207,703,745,546,0.0018315018315018315
208,703,1254,472,0.00211864406779661
209,703,1343,128,0.0078125
210,705,741,374,0.00267379679144385
211,715,938,565,0.0017699115044247787
212,739,1175,68,0.014705882352941176
213,741,1186,348,0.0028735632183908046
214,742,833,70,0.014285714285714285
215,742,878,104,0.009615384615384616
216,745,932,448,0.002232142857142857
217,745,1246,463,0.0021598272138228943
218,745,1343,542,0.0018450184501845018
219,765,769,415,0.0024096385542168677
220,786,1206,374,0.00267379679144385
221,786,1316,121,0.008264462809917356
222,801,855,586,0.0017064846416382253
223,801,932,351,0.002849002849002849
224,801,1246,280,0.0035714285714285713
225,833,878,232,0.004310344827586207
226,842,919,124,0.008064516129032258
227,842,971,519,0.0019267822736030828
228,842,1060,440,0.0022727272727272726
229,842,1301,130,0.007692307692307693
230,854,913,65,0.015384615384615385
231,854,953,419,0.002386634844868735
232,854,1068,328,0.003048780487804878
233,869,978,264,0.003787878787878788
234,869,979,315,0.0031746031746031746
235,879,1163,298,0.003355704697986577
236,879,1288,146,0.00684931506849315
237,879,1299,220,0.004545454545454545
238,885,1160,365,0.0027397260273972603
239,913,953,394,0.0025380710659898475
240,914,1299,589,0.001697792869269949
241,919,971,412,0.0024271844660194173
242,919,1060,396,0.0025252525252525255
243,919,1127,320,0.003125
244,919,1301,566,0.0017667844522968198
245,932,1246,215,0.004651162790697674
246,932,1343,277,0.0036101083032490976
247,953,1068,563,0.0017761989342806395
248,971,1060,532,0.0018796992481203006
249,971,1301,237,0.004219409282700422
250,978,979,84,0.011904761904761904
251,1029,1052,387,0.002583979328165375
252,1060,1127,211,0.004739336492890996
253,1060,1301,468,0.002136752136752137
254,1147,1206,300,0.0033333333333333335
255,1147,1229,505,0.0019801980198019802
256,1147,1316,146,0.00684931506849315
257,1206,1316,249,0.004016064257028112
258,1206,1333,434,0.002304147465437788
259,1229,1316,453,0.002207505518763797
260,1288,1299,241,0.004149377593360996
261,1316,1333,525,0.0019047619047619048
262,1326,1337,335,0.0029850746268656717
263,1326,1338,363,0.0027548209366391185
264,1337,1338,415,0.0024096385542168677
